order_id,date,time,customer_id
1,01-01-2015,11:38:36,6041
2,01-01-2015,11:57:40,2536
3,01-01-2015,12:12:28,3056
4,01-01-2015,12:16:31,5349
5,01-01-2015,12:21:30,2477
6,01-01-2015,12:29:36,8974
7,01-01-2015,12:50:37,8063
8,01-01-2015,12:51:37,8369
9,01-01-2015,12:52:01,2222
10,01-01-2015,13:00:15,1798
11,01-01-2015,13:02:59,1510
12,01-01-2015,13:04:41,8968
13,01-01-2015,13:11:55,7300
14,01-01-2015,13:14:19,8773
15,01-01-2015,13:33:00,7206
16,01-01-2015,13:34:07,2372
17,01-01-2015,13:53:00,2582
18,01-01-2015,13:57:08,3482
19,01-01-2015,13:59:09,6911
20,01-01-2015,14:03:08,2128
21,01-01-2015,14:14:29,8650
22,01-01-2015,14:16:26,4767
23,01-01-2015,14:19:03,4817
24,01-01-2015,14:23:01,327
25,01-01-2015,14:44:44,8945
26,01-01-2015,14:54:26,2228
27,01-01-2015,15:11:17,5858
28,01-01-2015,15:35:46,8186
29,01-01-2015,15:41:01,4012
30,01-01-2015,15:41:25,4166
31,01-01-2015,15:50:18,9606
32,01-01-2015,15:53:18,4681
33,01-01-2015,15:54:08,4852
34,01-01-2015,16:21:21,732
35,01-01-2015,16:32:04,4561
36,01-01-2015,16:54:09,6738
37,01-01-2015,16:56:09,5741
38,01-01-2015,17:03:00,7188
39,01-01-2015,17:07:23,6768
40,01-01-2015,17:14:36,2107
41,01-01-2015,17:15:20,7810
42,01-01-2015,17:28:09,513
43,01-01-2015,17:38:34,7838
44,01-01-2015,17:54:20,2263
45,01-01-2015,17:55:48,3951
46,01-01-2015,18:25:51,632
47,01-01-2015,18:26:34,9014
48,01-01-2015,18:26:42,484
49,01-01-2015,18:33:00,5740
50,01-01-2015,18:41:01,5143
51,01-01-2015,18:48:28,5841
52,01-01-2015,18:53:02,8092
53,01-01-2015,18:54:17,787
54,01-01-2015,19:01:45,7836
55,01-01-2015,19:03:19,6165
56,01-01-2015,19:07:00,429
57,01-01-2015,19:10:51,9459
58,01-01-2015,19:30:40,6106
59,01-01-2015,19:40:08,4732
60,01-01-2015,20:05:16,4042
61,01-01-2015,20:08:43,5486
62,01-01-2015,20:50:16,8988
63,01-01-2015,20:51:42,8916
64,01-01-2015,20:52:08,8731
65,01-01-2015,21:16:00,2848
66,01-01-2015,21:47:55,9346
67,01-01-2015,22:03:40,2281
68,01-01-2015,22:07:32,5536
69,01-01-2015,22:12:13,4340
70,02-01-2015,11:38:51,3606
71,02-01-2015,11:40:50,4951
72,02-01-2015,11:57:25,5781
73,02-01-2015,11:58:56,8935
74,02-01-2015,12:01:12,5062
75,02-01-2015,12:10:15,1527
76,02-01-2015,12:21:17,8206
77,02-01-2015,12:22:46,1520
78,02-01-2015,12:28:14,8463
79,02-01-2015,12:29:11,90
80,02-01-2015,12:35:38,421
81,02-01-2015,12:40:01,6655
82,02-01-2015,12:45:51,1643
83,02-01-2015,12:53:27,6535
84,02-01-2015,13:13:41,2715
85,02-01-2015,13:34:49,3736
86,02-01-2015,13:40:31,8966
87,02-01-2015,14:01:02,8609
88,02-01-2015,14:10:08,9011
89,02-01-2015,14:30:19,2833
90,02-01-2015,15:08:48,1986
91,02-01-2015,15:14:43,3099
92,02-01-2015,15:17:02,853
93,02-01-2015,15:29:31,7069
94,02-01-2015,16:17:16,2757
95,02-01-2015,16:18:04,1302
96,02-01-2015,16:21:20,9500
97,02-01-2015,16:45:33,5334
98,02-01-2015,17:18:18,4696
99,02-01-2015,17:45:42,9578
100,02-01-2015,17:46:17,6410
101,02-01-2015,17:51:33,5862
102,02-01-2015,17:54:04,600
103,02-01-2015,18:02:09,162
104,02-01-2015,18:02:12,4249
105,02-01-2015,18:12:01,2198
106,02-01-2015,18:12:13,9930
107,02-01-2015,18:25:09,4843
108,02-01-2015,18:25:25,4548
109,02-01-2015,18:27:50,5365
110,02-01-2015,18:36:19,9781
111,02-01-2015,18:38:01,8378
112,02-01-2015,18:41:40,6908
113,02-01-2015,18:50:21,155
114,02-01-2015,18:59:32,910
115,02-01-2015,19:05:17,5927
116,02-01-2015,19:18:49,7549
117,02-01-2015,19:23:02,7850
